Pos,artist,title,Total,country
8,Carlos Vives ,Robarte un Beso,5589461,ECU
9,Manuel Turizo ,Una Lady Como Tú,5437849,ECU
10,Wisin ,Escápate Conmigo,5297452,ECU
1,Danny Ocean ,Me Rehúso,2802216,SLV
2,Zion & Lennox ,Otra Vez,2250300,SLV
3,Ed Sheeran ,Shape of You,2100894,SLV
4,Anuel Aa ,Sola (Remix),2099374,SLV
5,Wisin ,Escápate Conmigo,1843103,SLV
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),1828894,SLV
7,The Chainsmokers ,Closer,1816899,SLV
8,Piso 21 ,Déjala Que Vuelva,1779307,SLV
9,Drake ,One Dance,1754939,SLV
10,DJ Snake ,Let Me Love You,1661383,SLV
1,Ed Sheeran ,Shape of You,1251800,EST
2,Post Malone ,rockstar,1082543,EST
3,Drake ,One Dance,927771,EST
4,Major Lazer ,Lean On,900436,EST
5,Alan Walker ,Faded,825047,EST
6,Ed Sheeran ,Thinking Out Loud,808611,EST
7,The Chainsmokers ,Don't Let Me Down,805619,EST
8,The Chainsmokers ,Closer,792317,EST
9,Mike Posner ,I Took A Pill In Ibiza ,77581,EST
10,Imagine Dragons ,Thunder,749399,EST
1,Ed Sheeran ,Shape of You,18649163,FIN
2,Alan Walker ,Faded,17476135,FIN
3,Post Malone ,rockstar,16068417,FIN
4,JVG ,Hehkuu,14474336,FIN
5,Reino Nordin ,Antaudun,14065457,FIN
6,JVG ,Tarkenee,14030675,FIN
7,Evelina ,Honey,14020800,FIN
8,Luis Fonsi ,Despacito ,13462650,FIN
9,Clean Bandit ,Rockabye,12043076,FIN
10,Antti Tuisku ,Keinutaan,11291160,FIN
1,Ed Sheeran ,Shape of You,60519140,fra
2,Niska ,Réseaux,43485870,fra
3,Damso ,Θ. Macarena,41011686,fra
4,Kalash ,Mwaka Moon,40604738,fra
5,Drake ,One Dance,38871307,fra
6,Vald ,Désaccordé,33599744,fra
7,Niska ,Salé,31886550,fra
8,Lartiste ,Mafiosa,31329839,fra
9,Camila Cabello ,Havana,29876962,fra
10,Post Malone ,rockstar,28945437,fra
1,Ed Sheeran ,Shape of You,120803974,DEU
2,Bausa ,Was Du Liebe nennst,98015116,DEU
3,Bonez MC ,Ohne mein Team,89532944,DEU
4,Drake ,One Dance,80601053,DEU
5,Post Malone ,rockstar,79558620,DEU
6,Axwell /\ Ingrosso ,More Than You Know,75471127,DEU
7,French Montana ,Unforgettable,68280658,DEU
8,Camila Cabello ,Havana,68271967,DEU
9,Bonez MC ,Palmen aus Plastik,65155292,DEU
10,The Chainsmokers ,Don't Let Me Down,63580831,DEU
1,Ed Sheeran ,Shape of You,2229056,GRC
2,Post Malone ,rockstar,1909516,GRC
3,Drake ,One Dance,1649829,GRC
4,Camila Cabello ,Havana,1546637,GRC
5,The Weeknd ,Starboy,1468148,GRC
6,Dua Lipa ,New Rules,1399188,GRC
7,French Montana ,Unforgettable,1336243,GRC
